Date,Traded Companies,Stock Symbol,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.,Sector
2013-05-06,Zenith Finance Limited,,2,92.00,91.00,92.00,176.00,16112.00,92.00,0.00 ,
2013-05-07,Western Development Bank Limited,,3,81.00,80.00,81.00,2308.00,186448.00,80.00,1.00 ,
2013-05-08,Zenith Finance Limited,,10,93.00,90.00,90.00,216.00,19604.00,92.00,-2.00 ,
2013-05-09,Zenith Finance Limited,,9,93.00,88.00,93.00,180.00,16176.00,90.00,3.00 ,
2013-05-12,Unique Finance Ltd.,,20,84.00,81.00,81.00,480.00,39740.00,83.00,-2.00 ,
2013-05-13,Zenith Finance Limited,,2,92.00,92.00,92.00,172.00,15824.00,93.00,-1.00 ,
2013-05-14,Western Development Bank Limited,,127,81.00,80.00,81.00,2228.00,179680.00,82.00,-1.00 ,
2013-05-15,Zenith Finance Limited,,8,96.00,93.00,96.00,180.00,16812.00,92.00,4.00 ,
2013-05-16,Unique Finance Ltd.,,1,82.00,82.00,82.00,10.00,820.00,82.00,0.00 ,
2013-05-19,Unique Finance Ltd.,,7,81.00,80.00,81.00,590.00,47650.00,82.00,-1.00 ,
2013-05-20,Western Development Bank Limited,,2,80.00,80.00,80.00,20.00,1600.00,81.00,-1.00 ,
2013-05-21,Triveni Bikas Bank Limited,,4,139.00,137.00,139.00,140.00,19320.00,135.00,4.00 ,
2013-05-22,United Finance Ltd.,UFL,1,136.00,136.00,136.00,120.00,16320.00,138.00,-2.00 ,Finance
2013-05-23,Western Development Bank Limited,,3,79.00,77.00,77.00,84.00,6528.00,80.00,-3.00 ,
2013-05-26,Western Development Bank Limited,,13,76.00,70.00,71.00,192.00,13968.00,77.00,-6.00 ,
2013-05-27,Zenith Finance Limited,,5,95.00,91.00,91.00,472.00,43496.00,96.00,-5.00 ,
2013-05-28,Zenith Finance Limited,,14,91.00,89.00,89.00,693.00,62703.00,91.00,-2.00 ,
2013-05-30,Zenith Finance Limited,,24,95.00,85.00,95.00,596.00,52286.00,89.00,6.00 ,
